№ п/п;Столбец2;Индекс;Бренд;Страна;Код УКТ ЗЕД;Кол-во;ЦСДО;Вес нетто, кг.;Пошлина, %;ПД/ПП;СУВСДО;СУ, USD;СБ, ГРН;СУ, ГРН;Сумма по документу;Столбец1;% вес;% деньги;Транспорт З, ГРН;Страховка З, ГРН;Факт стоим. ГРН;Там. Стоим. ГРН;Транспорт Л, ГРН;Разное Б, ГРН;Остальное У, ГРН;ФактПошлина Б, ГРН;ФактНДС У, ГРН;ТамПошлина Б, ГРН;ТамНДС У, ГРН
24;Топливо;T1342024;TOKO;CN;8421230090;120;2,97;57,00;2,00%;ПД;3,7710;3,7710;82,8822;99,4944;356,4000;;0,26%;0,60%;137,8837;19,4856;9 236,3159;9 393,6852;84,0754;66,7800;77,1560;184,7263;1 884,2084;187,8737;1 916,3118
25;Топливо;T1352000;TOKO;CN;8421230090;500;1,38;170,00;2,00%;ПД;1,7726;1,7726;38,9812;46,7589;690,0000;;0,77%;1,15%;411,2321;37,7246;17 881,7564;18 330,7131;250,7513;129,2879;149,3761;357,6351;3 647,8783;366,6143;3 739,4655
26;Топливо;T1352001;TOKO;CN;8421230090;200;1,91;76,00;2,00%;ПД;2,4379;2,4379;53,5952;64,3152;382,0000;;0,35%;0,64%;183,8449;20,8852;9 899,7550;10 104,4851;112,1006;71,5768;82,6981;197,9951;2 019,5500;202,0897;2 061,3150
27;Салон;T1402026C;TOKO;CN;5911909090;350;1,24;105,00;5,00%;ПД;1,6376;1,6376;35,9928;43,1763;434,0000;cartridge;0,48%;0,73%;253,9963;23,7282;11 247,3656;11 525,0901;154,8758;81,3202;93,9554;562,3683;2 361,9468;576,2545;2 420,2689
28;Салон;T1403020C;TOKO;CN;5911909090;300;1,19;91,00;5,00%;ПД;1,5743;1,5743;34,6034;41,5051;357,0000;cartridge;0,41%;0,60%;220,1301;19,5184;9 251,8653;9 491,5138;134,2257;66,8924;77,2859;462,5933;1 942,8917;474,5757;1 993,2179
29;Салон;T1404008C;TOKO;CN;8421392000;250;1,80;97,00;0,00%;ПД;2,2584;2,2584;49,6727;59,5994;450,0000;filter;0,44%;0,75%;234,6442;24,6030;11 662,0151;11 921,2622;143,0757;84,3182;97,4192;0,0000;2 332,4030;0,0000;2 384,2524
30;Салон;T1413004C;TOKO;CN;8421392000;500;2,31;181,00;0,00%;ПД;2,8753;2,8753;63,2173;75,8907;1 155,0000;filter;0,82%;1,93%;437,8412;63,1476;29 932,5053;30 433,4942;266,9764;216,4167;250,0426;0,0000;5 986,5011;0,0000;6 086,6988
31;Салон;T1413006C;TOKO;CN;8421392000;1000;1,62;441,00;0,00%;ПД;2,0481;2,0481;45,0629;54,0413;1 620,0000;filter;2,01%;2,71%;1066,7845;88,5707;41 983,2542;43 138,6093;650,4783;303,5455;350,7091;0,0000;8 396,6508;0,0000;8 627,7219
32;Салон;T1413011C;TOKO;CN;5911909090;1000;1,44;300,00;5,00%;ПД;1,8933;1,8933;41,6038;49,9213;1 440,0000;cartridge;1,37%;2,41%;725,7037;78,7295;37 318,4482;38 122,8814;442,5023;269,8182;311,7414;1 865,9224;7 836,8741;1 906,1441;8 005,8051
33;Салон;T1415006C;TOKO;CN;5911909090;300;1,41;84,00;5,00%;ПД;1,8515;1,8515;40,6818;48,8191;423,0000;cartridge;0,38%;0,71%;203,1970;23,1268;10 962,2941;11 188,6180;123,9006;79,2591;91,5740;548,1147;2 302,0818;559,4309;2 349,6098
